,boxOffice,differenceCount,dislikeCount,imdbRating,likeCount,publishedDate,title,tomatoRating,viewCount
235,5,341045,21099,5,362144,11/28/2014,Star Wars: Shadow of the Fallen,5,77102292
225,362.7,547852,13017,8.2,560869,8/5/2015,Deadpool,6.9,41200772
41,38.2,96327,13459,6.7,109786,9/23/2015,The Angry Birds Movie,5,27879707
237,328.2,111458,5923,7.1,117381,4/17/2015,Batman v Superman: Dawn of Justice,4.9,27528280
40,296,92755,4284,8.4,97039,11/25/2015,Captain America: Civil War,7.6,26963811
187,5,46001,19752,6.5,65753,9/7/2014,LEGO Friends: Girlz 4 Life,5,24577559
56,5,165469,13380,7.9,178849,2/29/2016,Fan,6.8,23200413
240,311.1,81914,4275,7.9,86189,9/15/2015,The Jungle Book,7.7,22823665
3,5,80391,4074,9,84465,11/6/2015,Warcraft,5,21301467
23,31.1,47137,13991,5.6,61128,11/17/2015,Gods of Egypt,3.4,20717150
181,5,132643,3810,5,136453,7/23/2015,Pawns No More: Making the Hunger Games: Mockingjay Part 2,5,20351707
188,5,10593,3248,5,13841,5/7/2015,Youth,5,20234859
186,5,90352,2844,5,93196,6/30/2015,Creed,5,19965373
219,0.4,99192,8340,5.7,107532,3/14/2016,Baaghi,5,19660989
118,5,44836,1379,7.9,46215,9/29/2015,A World Unseen: The Revenant,5,19168931
265,5,19308,1973,5,21281,2/25/2013,Eden,5,19029858
161,5,397184,6164,5,403348,8/4/2013,Naruto Shippuden: Ultimate Ninja Storm 4,5,16968261
77,5,43149,5681,5.7,48830,2/16/2016,Ki and Ka,5,14993167
253,5,39034,1358,6.4,40392,12/18/2013,Neighbors 2: Sorority Rising,5,14637167
119,5,21382,3537,5,24919,2/11/2015,True Trainwreck,5,14229996
260,5,24891,3268,5,28159,9/4/2013,Grace and Gravity,5,14001267
205,5,37335,3408,5,40743,9/9/2015,Krampus: Beware the Krampus,5,13737018
123,5,73112,5300,3.4,78412,11/19/2015,Fifty Shades of Black,2.8,13610302
178,5,25574,4241,5,29815,12/20/2012,Deadly Temptation,5,13290508
60,5,46737,12565,5,59302,4/24/2016,Housefull 3,5,13201992
18,5,111871,4970,5,116841,5/23/2016,Beauty and the Beast XXX: An Erotic Fairy Tale Parody,5,13031646
112,5,31118,2415,5,33533,7/16/2014,Ouija 2,5,12964014
198,36.9,34054,2080,5.2,36134,9/14/2015,The 5th Wave,4.2,12807931
10,5,89328,1951,5,91279,4/11/2016,Suicide Squad,5,12272267
106,5,63259,5703,5,68962,4/16/2016,Udta Punjab,5,11806715
192,5,62790,1144,5,63934,11/18/2015,Now You See Me 2,5,11597845
53,5,39458,2249,7.8,41707,12/11/2015,X-Men: Apocalypse,5,11298679
168,5,38583,1939,5,40522,8/25/2014,Amityville: No Escape,5,10886446
140,0.5,31950,4525,5.6,36475,1/4/2016,Fitoor,5,10813069
282,5,23406,2413,5,25819,8/19/2015,The Witch,5,10666939
122,5,45154,3723,8,48877,2/10/2016,Kapoor and Sons,5,10464130
87,5,28433,2631,6,31064,11/5/2015,London Has Fallen,3.9,10276185
246,5,31966,1982,6.1,33948,10/29/2015,Dirty Grandpa,2.8,10154637
154,5,41195,1221,5,42416,6/17/2015,The Secret Life of Pets,5,10144018
109,5,29121,1405,6,30526,10/14/2015,The Boy,4.2,9618905
242,5,5749,2868,3.7,8617,4/7/2016,One Night Stand,5,9487106
108,5,33675,2804,5,36479,4/1/2016,Azhar,5,9291680
281,5,9943,688,5,10631,6/13/2013,The Art of Elysium: Heaven on Earth,5,8813459
176,5,39506,2486,5.9,41992,12/22/2015,Jai Gangaajal,5,8714021
19,5,86206,718,5,86924,2/3/2016,Me Before You,5,8686841
55,5,40674,914,5,41588,11/20/2015,Central Intelligence,5,8376168
7,5,26973,6311,5,33284,5/2/2016,Bad Moms,5,8362275
48,5,26595,1837,5,28432,3/17/2016,The Legend of Tarzan,5,8330687
1,5,71681,4147,5,75828,5/11/2016,Nerve,5,8065469
268,5,13289,909,5,14198,10/2/2015,Spectre: Video Blogs,5,7660753
227,5,21484,891,5,22375,7/10/2014,Bring Back the Egg Unbroken,5,7452276
160,5,6296,5721,4.6,12017,3/3/2016,Love Games,5,7246663
94,5,27991,4920,5,32911,5/4/2016,The Shallows,5,6793988
86,1.5,32853,1418,8.2,34271,12/17/2015,Neerja,5,6773628
145,5,25471,1899,5,27370,4/22/2016,Independence Day: Resurgence,5,6604063
