title,publishedDate,dislikeCount,commentCount,viewCount,likeCount
Dumbasses ,5/30/2016,160,716,248539,4469
- ,5/30/2016,82,395,36895,1809
Games ,5/30/2016,362,1282,281520,6672
Filipinas ,5/30/2016,5981,924,2617687,166035
Video) ,5/30/2016,11,27,10801,277
YOUTUBE ,5/30/2016,28531,32361,1601048,105130
Egg ,5/30/2016,7,18,14567,227
Course ,5/30/2016,3570,14672,7295499,32346
Misery ,5/30/2016,857,299,617865,20220
1,5/30/2016,42248,28703,96466010,297304
Way ,5/30/2016,472,3549,1358166,16845
Original] ,5/30/2016,8369,16471,7419405,5592
children. ,5/30/2016,738,57,1556848,1432
T-Series ,5/30/2016,58,59,190338,917
Singh ,5/30/2016,24,14,14980,141
140,5/30/2016,500,7011,855618,51225
cry ,5/30/2016,8899,3636,14735131,17416
Video) ,5/30/2016,30896,49387,101891528,670691
Video) ,5/30/2016,1006,1636,435742,21172
T-Series ,5/30/2016,20,1,27676,219
CO! ,5/30/2016,974,4459,5152009,23243
Mallik ,5/30/2016,18,35,32001,321
Video) ,5/30/2016,3055,1660,2716619,48342
Adventure ,5/30/2016,398,350,1778640,1803
Maluma ,5/30/2016,16885,20812,50240160,307412
video) ,5/30/2016,7211,35263,28269397,625027
Liquid! ,5/30/2016,8643,10543,40578206,387970
World ,5/30/2016,13258,16500,12548888,183367
#8 ,5/30/2016,184,909,144750,5392
ASUS ,5/30/2016,1118,975,511677,3451
GoPro ,5/30/2016,1072,6061,3641129,41322
Time ,5/30/2016,5319,3994,7104315,39108
Video] ,5/30/2016,5310,10463,3463840,81373
Video) ,5/30/2016,182959,234717,629566377,2200617
video) ,5/30/2016,71142,100430,363385514,2106217
Video) ,5/30/2016,5054,10619,11421303,199224
T-Series ,5/30/2016,24518,5599,51531559,98207
Video) ,5/30/2016,838,789,4540621,10350
T-Series ,5/30/2016,32912,9729,41884934,151023
Video ,5/30/2016,890,7400,2191251,16656
Video) ,5/30/2016,42269,47554,227696360,928357
fire!!) ,5/30/2016,1420,4344,1962140,57667
VIDEO] ,5/30/2016,32495,74280,197888507,1348461
original ,5/30/2016,72,75,154620,819
Oficial. ,5/30/2016,5857,8789,68278267,203067
Quality ,5/30/2016,251,1741,1253437,44061
Video) ,5/30/2016,18618,12113,96346604,338572
JUKEBOX) ,5/30/2016,2697,630,9182853,14998
Video) ,5/30/2016,19058,25271,93447632,566314
Anthony ,5/30/2016,11401,4173,83787068,176535
video) ,5/30/2016,61069,63622,306101007,1454708
@EVEEEEEZY ,5/30/2016,20,1486,175925,9209
Mode ,5/30/2016,163,1077,257417,2931
VIDEO ,5/30/2016,8398,2290,27097284,21369
Wisin ,5/30/2016,18820,17005,98698356,434085
(VIDEO) ,5/30/2016,5584,5377,265525,4429
Games ,5/30/2016,34052,62584,32417129,190140
T-Series ,5/30/2016,4059,2253,8316199,26673
Yankee ,5/30/2016,31835,23181,350546471,766304
Video) ,5/30/2016,5625,6500,21922267,162209
VIDEO) ,5/30/2016,4360,7179,5232656,57656
Lazarus ,5/30/2016,16326,39606,35718314,290842
-2016,5/30/2016,35,71,104816,728
ISS ,5/30/2016,5452,10099,7356939,112179
Villain ,5/30/2016,624,3490,1902238,15417
Video) ,5/30/2016,287353,321434,1287957947,4229871
Video) ,5/30/2016,52102,181849,258961297,2282182
Video) ,5/30/2016,33686,31684,63671631,511456
Paul ,5/30/2016,34037,28471,220757673,1063822
Video) ,5/30/2016,2151,725,10804088,48123
| ,5/30/2016,15827,414,49225602,108704
Video ,5/30/2016,1552,2246,562326,21408
Video) ,5/30/2016,223245,225806,1403474252,5226817
Video) ,5/30/2016,9448,6434,45414205,285833
Wizards ,5/30/2016,433,1101,226624,2913
Video) ,5/30/2016,9372,12077,30003246,303390
Yotuel ,5/30/2016,57643,31492,339067879,732717
#7 ,5/30/2016,138,708,177353,5676
Kids ,5/30/2016,1022,1289,1634112,18193
5,5/30/2016,7726,59344,3531831,147026
Myself ,5/30/2016,80266,95924,129266529,1332690
Oficial ,5/30/2016,81498,88043,473051028,1635939
Malik ,5/30/2016,9106,15994,51436755,259873
Wisin ,5/30/2016,13827,16002,46347471,364295
ᴴᴰ ,5/30/2016,79,136,186749,2654
Youtube ,5/30/2016,4723,21248,4243416,76212
VIDEO] ,5/30/2016,72281,162105,397759697,2825250
T-Series ,5/30/2016,589,1687,1402305,16610
Video) ,5/30/2016,954,4145,1206591,34716
video) ,5/30/2016,4185,40403,1008542,93690
T-Series ,5/30/2016,2954,1203,1972998,15328
Times ,5/30/2016,54,84,213586,901
Video) ,5/30/2016,55218,35396,64324220,452224
Oficial] ,5/30/2016,19040,16610,101403563,327703
YTMAs] ,5/30/2016,92559,57966,512481898,1974094
T-Series ,5/30/2016,383,218,413152,2856
Singh ,5/30/2016,59352,28242,139524027,542514
Video ,5/30/2016,0,0,1615,4
Youtube ,5/30/2016,7537,12280,8818004,224651
Understand ,5/30/2016,376,2559,816643,29273
Soundtrack ,5/30/2016,288869,659320,1770659212,10249987
VIDEO) ,5/30/2016,26113,32837,224906626,933511
Happy ,5/30/2016,9726,8078,32656065,242116
Video) ,5/30/2016,89873,201092,474230771,3217998
COMPLETO ,5/30/2016,385,463,539893,4449
Anthony ,5/30/2016,46432,55581,341446039,860798
camera ,5/30/2016,504,4189,1729965,25492
Oficial) ,5/30/2016,8128,9134,66203571,313214
video) ,5/30/2016,1404,1593,1460234,21196
Oficial) ,5/30/2016,7347,5110,71150672,182402
T-Series ,5/30/2016,2538,638,9485110,11417
Video) ,5/30/2016,331,346,1477750,18486
Video) ,5/30/2016,5401,4310,15705692,112367
Drake ,5/30/2016,272473,281834,378672767,3352364
Video) ,5/30/2016,208218,225417,637734471,2881038
Brain ,5/30/2016,97,1013,159365,6860
T-Series ,5/30/2016,1947,505,7706068,10009
T-Series ,5/30/2016,2555,2453,11813546,67345
Video) ,5/30/2016,1232,1656,2522296,14387
JukinVideo ,5/30/2016,208,250,315664,4475
Video) ,5/30/2016,188366,132448,1131740542,4375457
Games ,5/30/2016,518,2811,1209676,14126
Video] ,5/30/2016,20184,44848,59796383,580983
Video) ,5/30/2016,89589,123957,387727098,2280206
audio) ,5/30/2016,70,27,479076,2111
#YouTubeRewind ,5/30/2016,156116,375522,97938900,2004214
Video] ,5/30/2016,56712,67343,340665422,1581686
GRACEFFA ,5/30/2016,1049,4779,1263456,55290
Zoo ,5/30/2016,377,56,287653,106
Video) ,5/30/2016,35908,30566,96423185,604615
