title,publishedDate,dislikeCount,commentCount,viewCount,likeCount,word
Top 10 Video Game Dumbasses,12/15/2014,163,733,260994,4553,video
The Rebellious Origin of the Video Game Easter Egg,12/15/2014,12,28,24688,327,video
Ariana Grande - Into You - REACTION VIDEO,12/15/2014,1714,5350,870253,53764,video
Dagny - Backbeat (Official Video),12/15/2014,48,61,37467,794,video
Pinegrove - New Friends (Tour Video),12/15/2014,11,27,12019,286,video
Perturbador video tomado en Filipinas,12/15/2014,6004,1136,2671666,166769,video
THE MOST MOTIVATIONAL VIDEO ON ALL OF YOUTUBE,12/15/2014,28564,32423,1606554,105331,video
Giant Gator Walks Across Florida Golf Course,12/15/2014,3851,16109,8481877,35619,video
Funny Cats Compilation [Most See] Funny Cat Videos Ever Part 1,12/15/2014,42254,28712,96499684,297362,video
Top 10 Video Game Decisions You're Going To Get Wrong Either Way,12/15/2014,474,3574,1381527,16910,video
Gwen Stefani - Misery,12/15/2014,940,361,706570,21241,video
Cincinnati zoo kills gorilla to save boy who fell into enclosure [HD Original],12/15/2014,8567,16989,7983019,5797,video
The Video They Don't Wan't You To See! (2016-2017),12/15/2014,667,5054,511069,6062,video
Making of Pyar Ki Video Song | HOUSEFULL 3 | T-Series,12/15/2014,58,59,206395,929,video
Trucks for kids. Dump Truck. Surprise Eggs. Learn Fruits. Video for children.,12/15/2014,741,59,1576927,1443,video
Shocking Video that made the whole world cry,12/15/2014,8908,3636,14743009,17422,video
Your Smart Little Companion - Full version | Zenbo |ASUS,12/15/2014,1121,985,521621,3488,video
Shakira - Try Everything (Official Video),12/15/2014,30913,49418,102062871,671118,video
ADELE Asks Fan to Stop Recording Her During Live Show - ADELE DRAGS WOMAN [VIDEO],12/15/2014,13608,3443,2811028,10305,video
"Meherbaan Full Video Song | SARBJIT | Aishwarya Rai Bachchan, Randeep Hooda | Sukhwinder Singh",12/15/2014,24,14,15376,141,video
Paperboy (NES) - Angry Video Game Nerd - Episode 140,12/15/2014,500,7072,864610,51423,video
PAYDAY 2: Update 100!,12/15/2014,582,2611,206783,7483,video
"Extreme up-close video of tornado near Wray, CO!",12/15/2014,977,4467,5162266,23270,video
"Rabba Full Video Song |  SARBJIT | Aishwarya Rai Bachchan, Randeep Hooda, Richa Chadda | T-Series",12/15/2014,22,1,28726,223,video
"Salamat Full Video | SARBJIT | Randeep Hooda, Richa Chadda | Arijit Singh, Tulsi Kumar, Amaal Mallik",12/15/2014,18,35,33105,321,video
ASSISTANT Talking Tree Treasure Hunt TheEngineeringFamily  Kids Funny Video Adventure,12/15/2014,401,355,1796986,1815,video
Thalía - Desde Esa Noche (Official Video) ft. Maluma,12/15/2014,16912,20849,50487291,307987,video
"Ishqe Di Lat Video Song | Junooniyat | Pulkit Samrat, Yami Gautam | Ankit Tiwari, Tulsi Kumar",12/15/2014,286,179,864697,3529,video
Coldplay - Up&Up (Official video),12/15/2014,7239,35336,28477553,625879,video
10 Amazing Science Tricks Using Liquid!,12/15/2014,8644,10545,40601339,388045,video
8 Crazy & Horrifying Videos Caught on GoPro,12/15/2014,1076,6078,3662769,41386,video
10 Most Shocking Video Game Scenes Of All Time,12/15/2014,5323,3997,7115094,39129,video
"Lava (From ""Lava"" (Official Lyric Video))",12/15/2014,8199,11088,23171446,224818,video
Sega and More Mature Video Games: Crash Course Games #8,12/15/2014,184,913,146382,5405,video
